PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Oscar Taty Maritu, 0.5, Shots On Target
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Hannah Wilkinson, 0.5, Shots On Target
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Aurora Mikalsen, 2.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Victoria Esson, 4.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Courtney Brosnan, 4.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Mackenzie Arnold, 2.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Tomás Ahumada, 3.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 6:00 PM, Nicola Pérez, 3.5, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Kailen Sheridan, 2.0, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Chiamaka Nnadozie, 4.0, Goalie Saves
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Gouming Wang, 2.5, Goalie Saves
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Xiaodong Shi, 2.5, Goalie Saves
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Junling Yan, 2.0, Goalie Saves
PrizePicks, SOCCER, Fri, Jul 21 7:35 AM, Puliang Shao, 3.5, Goalie Saves
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Victoria Esson + Aurora Miklasen, 5.5, Goalie Saves (Combo)
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Mackenzie Arnold + Courtney Brosnan, 5.5, Goalie Saves (Combo)
PrizePicks, SOCCER, Thu, Jul 20 10:30 PM, Chiamaka Nnadozie + Kailen Sheridan, 5.5, Goalie Saves (Combo)
PrizePicks, SOCCER, Thu, Jul 20 3:00 AM, Victoria Esson + Aurora Miklasen, 0.5, Goals Allowed in First 30 Minutes
PrizePicks, SOCCER, Thu, Jul 20 6:00 AM, Lydia Williams + Courtney Brosnan, 0.5, Goals Allowed in First 30 Minutes
