BettingSite, Date, PlayerName, Score, ScoreType
PrizePicks, Mon Jul 31 10:00 AM, s1mple, 42.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, jL, 39.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, iM, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, b1t, 35.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, Aleksib, 31.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, regali, 38.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, k1to, 33.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, FASHR, 33.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, F1KU, 32.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 10:00 AM, nexa, 28.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, MATYS, 44.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, fino, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, T4gg3D, 35.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, VLDN, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, Impulse, 33.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:00 PM, Kind0, 35.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, sh1ro, 42.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, electroNic, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, Perfecto, 35.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, HObbit, 36.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, buster, 31.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, Woro2k, 39.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, sdy, 37.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, br0, 35.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, kRaSnaL, 32.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, DemQQ, 33.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, afro, 41.5, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, mezii, 38.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, roeJ, 37.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, KRIMZ, 34.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, dexter, 33.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, acoR, 36.0, MAPS 1-2 Kills
PrizePicks, Mon Jul 31 1:30 PM, volt, 34.0, MAPS 1-2 Kills
