PrizePicks, MLBLIVE, Wed, Jul 19 11:10 PM, Luis Castillo, 4.0, Pitcher Strikeouts
PrizePicks, MLBLIVE, Wed, Jul 19 11:10 PM, Luis Castillo, 0.5, Hits Allowed
PrizePicks, MLBLIVE, Wed, Jul 19 11:10 PM, Kenta Maeda, 0.5, Runs Allowed
PrizePicks, MLBLIVE, Wed, Jul 19 11:10 PM, Luis Castillo, 15.0, Pitches Thrown
PrizePicks, MLBLIVE, Wed, Jul 19 11:10 PM, Kenta Maeda, 15.5, Pitches Thrown
