PrizePicks, TBT, Wed, Jul 19 11:00 PM, Casper Ware , 16.5, Points
PrizePicks, TBT, Wed, Jul 19 11:00 PM, Thomas Welsh , 10.5, Points
PrizePicks, TBT, Wed, Jul 19 11:00 PM, Chris Copeland, 8.5, Points
