PrizePicks, PGA, Thu, Jul 20 4:14 AM, Padraig Harrington, 3.0, Birdies Or Better
PrizePicks, PGA, Thu, Jul 20 9:59 AM, Rory McIlroy, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:47 AM, Scottie Scheffler, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Jon Rahm, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Brooks Koepka, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Cameron Smith, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 10:21 AM, Phil Mickelson, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:03 AM, Xander Schauffele, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:47 AM, Rickie Fowler, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:36 AM, Patrick Cantlay, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 8:26 AM, Viktor Hovland, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:37 AM, Tyrrell Hatton, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 5:20 AM, Bryson DeChambeau, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 2:41 AM, Tommy Fleetwood, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:03 AM, Jordan Spieth, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 8:26 AM, Dustin Johnson, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Collin Morikawa, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 1:57 AM, Matt Fitzpatrick, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 5:09 AM, Shane Lowry, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Tony Finau, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 3:47 AM, Sam Burns, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:37 AM, Justin Rose, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 7:42 AM, Tom Kim, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 5:09 AM, Robert MacIntrye, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:14 AM, Talor Gooch, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 7:42 AM, Min Woo Lee, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:03 AM, Adam Scott, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 8:48 AM, Sungjae Im, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 8:04 AM, Keegan Bradley, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 3:25 AM, Hideki Matsuyama, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 6:36 AM, Joaquin Niemann, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 10:10 AM, Max Homa, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 5:20 AM, Cameron Young, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 4:14 AM, Wyndham Clark, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:48 AM, Justin Thomas, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 2:30 AM, Patrick Reed, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 7:31 AM, Corey Conners, 0.0, Birdies or Better Matchup
PrizePicks, PGA, Thu, Jul 20 9:47 AM, Rory McIlroy + Scottie Scheffler, 8.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 2:04 PM, John Daly + Phil Mickelson, 4.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:47 AM, Scottie Scheffler + Jon Rahm, 8.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 2:59 PM, Rory McIlroy + Jon Rahm, 8.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:58 AM, Cameron Smith + Dustin Johnson, 8.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:36 AM, Xander Schauffele + Patrick Cantlay, 8.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:03 AM, Jordan Spieth + Justin Thomas, 7.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:14 AM, Talor Gooch + Collin Morikawa, 7.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 10:09 AM, Rickie Fowler + Max Homa, 7.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 8:47 AM, Sam Burns + Sungjae Im, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:36 AM, Bryson DeChambeau + Brooks Koepka, 8.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:58 AM, Shane Lowry + Wyndham Clark, 7.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 10:20 AM, Tony Finau + Cameron Young, 7.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 12:53 PM, Phil Mickelson + Billy Horschel, 5.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:03 AM, Gary Woodland + Jason Day, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 2:59 PM, Phil Mickelson + Rory McIlroy, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 7:30 AM, Patrick Reed + Justin Thomas, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 10:31 AM, Rasmus Hojgaard + Nicolai Hojgaard, 6.5, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 7:41 AM, Joaquin Niemann + Thomas Pieters, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:36 AM, Hideki Matsuyama + Tom Kim, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 1:26 PM, Keegan Bradley + Sahith Theegala, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 7:52 AM, Louis Oosthuizen + Henrik Stenson, 7.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 8:36 AM, Padraig Harrington + Ernie Els, 5.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 9:03 AM, Alex Fitzpatrick + Matt Fitzpatrick, 6.0, Birdies or Better (Combo)
PrizePicks, PGA, Thu, Jul 20 7:53 AM, Alex Noren, 36.5, Holes Played
