BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Game Spread  (Set 2), Elise Mertens+1.5 -102, Daria Kasatkina-1.5 -128
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Match Handicap (Set), Sorana Cirstea-1.5 +190, Petra Martic+1.5 -256, Sorana Cirstea+1.5 -323, Petra Martic-1.5 +235
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Game Spread  (Set 1), Sorana Cirstea-1.5 +102, Petra Martic+1.5 -133
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Game Spread  (Set 2), Elise Mertens-1.5 +157, Daria Kasatkina+1.5 -213
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Game Spread  (Set 1), Sorana Cirstea+1.5 -161, Petra Martic-1.5 +122
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Game Spread  (Set 2), Sorana Cirstea+1.5 -161, Petra Martic-1.5 +122
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Spread Games, Sofia Kenin-9.5 +925, Magdalena Frech+9.5 -5000, Sofia Kenin-8.5 +680, Magdalena Frech+8.5 -2000, Sofia Kenin-7.5 +440, Magdalena Frech+7.5 -833, Sofia Kenin-6.5 +270, Magdalena Frech+6.5 -435, Sofia Kenin-5.5 +172, Magdalena Frech+5.5 -250, Sofia Kenin-4.5 +115, Magdalena Frech+4.5 -161, Sofia Kenin-3.5 -125, Magdalena Frech+3.5 -110, Sofia Kenin-2.5 -161, Magdalena Frech+2.5 +118, Sofia Kenin-1.5 -192, Magdalena Frech+1.5 +137, Sofia Kenin-0.5 -222, Magdalena Frech+0.5 +155, Sofia Kenin+0.5 -250, Magdalena Frech-0.5 +175, Sofia Kenin+1.5 -294, Magdalena Frech-1.5 +200, Sofia Kenin+2.5 -345, Magdalena Frech-2.5 +230, Sofia Kenin+3.5 -455, Magdalena Frech-3.5 +285, Sofia Kenin+4.5 -667, Magdalena Frech-4.5 +385, Sofia Kenin+5.5 -1111, Magdalena Frech-5.5 +530, Sofia Kenin+6.5 -2500, Magdalena Frech-6.5 +725, Sofia Kenin+7.5 -5000, Magdalena Frech-7.5 +925
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Match Handicap (Set), Sofia Kenin-1.5 +112, Magdalena Frech+1.5 -154, Sofia Kenin+1.5 -588, Magdalena Frech-1.5 +410
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Game Spread  (Set 1), Sofia Kenin-2.5 +142, Magdalena Frech+2.5 -192
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Game Spread  (Set 2), Sorana Cirstea-1.5 +102, Petra Martic+1.5 -133
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Game Spread  (Set 2), Sofia Kenin-2.5 +142, Magdalena Frech+2.5 -192
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Game Spread  (Set 2), Sofia Kenin-1.5 -154, Magdalena Frech+1.5 +115
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Spread Games, Jennifer Brady-7.5 +900, Anhelina Kalinina+7.5 -5000, Jennifer Brady-6.5 +700, Anhelina Kalinina+6.5 -2000, Jennifer Brady-5.5 +520, Anhelina Kalinina+5.5 -1111, Jennifer Brady-4.5 +375, Anhelina Kalinina+4.5 -667, Jennifer Brady-3.5 +280, Anhelina Kalinina+3.5 -455, Jennifer Brady-2.5 +225, Anhelina Kalinina+2.5 -345, Jennifer Brady-1.5 +195, Anhelina Kalinina+1.5 -286, Jennifer Brady-0.5 +172, Anhelina Kalinina+0.5 -250, Jennifer Brady+0.5 +155, Anhelina Kalinina-0.5 -222, Jennifer Brady+1.5 +135, Anhelina Kalinina-1.5 -189, Jennifer Brady+2.5 +115, Anhelina Kalinina-2.5 -161, Jennifer Brady+3.5 -111, Anhelina Kalinina-3.5 -125, Jennifer Brady+4.5 -161, Anhelina Kalinina-4.5 +115, Jennifer Brady+5.5 -250, Anhelina Kalinina-5.5 +172, Jennifer Brady+6.5 -435, Anhelina Kalinina-6.5 +270, Jennifer Brady+7.5 -833, Anhelina Kalinina-7.5 +440, Jennifer Brady+8.5 -2000, Anhelina Kalinina-8.5 +670, Jennifer Brady+9.5 -5000, Anhelina Kalinina-9.5 +925
Betano, Spread Markets, Washington (W), Sofia Kenin - Magdalena Frech, Game Spread  (Set 1), Sofia Kenin-1.5 -154, Magdalena Frech+1.5 +115
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Game Spread  (Set 1), Jennifer Brady+1.5 +115, Anhelina Kalinina-1.5 -154
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Match Handicap (Set), Jennifer Brady-1.5 +400, Anhelina Kalinina+1.5 -588, Jennifer Brady+1.5 -154, Anhelina Kalinina-1.5 +115
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Game Spread  (Set 2), Jennifer Brady+2.5 -192, Anhelina Kalinina-2.5 +142
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Game Spread  (Set 1), Jennifer Brady+2.5 -192, Anhelina Kalinina-2.5 +142
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Match Handicap (Set), Hailey Baptiste-1.5 +460, Karolina Pliskova+1.5 -667, Hailey Baptiste+1.5 -139, Karolina Pliskova-1.5 +102
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Spread Games, Hailey Baptiste-7.5 +1000, Karolina Pliskova+7.5 -10000, Hailey Baptiste-6.5 +825, Karolina Pliskova+6.5 -3333, Hailey Baptiste-5.5 +620, Karolina Pliskova+5.5 -1667, Hailey Baptiste-4.5 +450, Karolina Pliskova+4.5 -909, Hailey Baptiste-3.5 +325, Karolina Pliskova+3.5 -556, Hailey Baptiste-2.5 +260, Karolina Pliskova+2.5 -400, Hailey Baptiste-1.5 +220, Karolina Pliskova+1.5 -333, Hailey Baptiste-0.5 +195, Karolina Pliskova+0.5 -286, Hailey Baptiste+0.5 +172, Karolina Pliskova-0.5 -250, Hailey Baptiste+1.5 +152, Karolina Pliskova-1.5 -213, Hailey Baptiste+2.5 +127, Karolina Pliskova-2.5 -175, Hailey Baptiste+3.5 -102, Karolina Pliskova-3.5 -133, Hailey Baptiste+4.5 -154, Karolina Pliskova-4.5 +112, Hailey Baptiste+5.5 -250, Karolina Pliskova-5.5 +175, Hailey Baptiste+6.5 -455, Karolina Pliskova-6.5 +280, Hailey Baptiste+7.5 -909, Karolina Pliskova-7.5 +460, Hailey Baptiste+8.5 -2000, Karolina Pliskova-8.5 +700, Hailey Baptiste+9.5 -6667, Karolina Pliskova-9.5 +950
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Game Spread  (Set 1), Hailey Baptiste+1.5 +120, Karolina Pliskova-1.5 -161
Betano, Spread Markets, Washington (W), Jennifer Brady - Anhelina Kalinina, Game Spread  (Set 2), Jennifer Brady+1.5 +115, Anhelina Kalinina-1.5 -154
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Game Spread  (Set 2), Hailey Baptiste+1.5 +120, Karolina Pliskova-1.5 -161
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Spread Games, Bernarda Pera-7.5 +850, Leylah Annie Fernandez+7.5 -4000, Bernarda Pera-6.5 +640, Leylah Annie Fernandez+6.5 -1667, Bernarda Pera-5.5 +450, Leylah Annie Fernandez+5.5 -909, Bernarda Pera-4.5 +320, Leylah Annie Fernandez+4.5 -526, Bernarda Pera-3.5 +235, Leylah Annie Fernandez+3.5 -357, Bernarda Pera-2.5 +187, Leylah Annie Fernandez+2.5 -270, Bernarda Pera-1.5 +160, Leylah Annie Fernandez+1.5 -227, Bernarda Pera-0.5 +142, Leylah Annie Fernandez+0.5 -200, Bernarda Pera+0.5 +125, Leylah Annie Fernandez-0.5 -175, Bernarda Pera+1.5 +112, Leylah Annie Fernandez-1.5 -154, Bernarda Pera+2.5 -108, Leylah Annie Fernandez-2.5 -128, Bernarda Pera+3.5 -133, Leylah Annie Fernandez-3.5 -102, Bernarda Pera+4.5 -200, Leylah Annie Fernandez-4.5 +140, Bernarda Pera+5.5 -312, Leylah Annie Fernandez-5.5 +210, Bernarda Pera+6.5 -556, Leylah Annie Fernandez-6.5 +325, Bernarda Pera+7.5 -1111, Leylah Annie Fernandez-7.5 +520, Bernarda Pera+8.5 -2500, Leylah Annie Fernandez-8.5 +750, Bernarda Pera+9.5 -10000, Leylah Annie Fernandez-9.5 +975
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Match Handicap (Set), Bernarda Pera-1.5 +325, Leylah Annie Fernandez+1.5 -455, Bernarda Pera+1.5 -182, Leylah Annie Fernandez-1.5 +137
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Game Spread  (Set 1), Hailey Baptiste+2.5 -189, Karolina Pliskova-2.5 +140
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Game Spread  (Set 1), Bernarda Pera+1.5 -102, Leylah Annie Fernandez-1.5 -128
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Game Spread  (Set 2), Bernarda Pera+1.5 -102, Leylah Annie Fernandez-1.5 -128
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Game Spread  (Set 1), Bernarda Pera-1.5 +155, Leylah Annie Fernandez+1.5 -213
Betano, Spread Markets, Washington (W), Hailey Baptiste - Karolina Pliskova, Game Spread  (Set 2), Hailey Baptiste+2.5 -192, Karolina Pliskova-2.5 +142
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Spread Games, Qinwen Zheng-7.5 +925, Madison Keys+7.5 -6667, Qinwen Zheng-6.5 +700, Madison Keys+6.5 -2000, Qinwen Zheng-5.5 +480, Madison Keys+5.5 -1000, Qinwen Zheng-4.5 +320, Madison Keys+4.5 -526, Qinwen Zheng-3.5 +220, Madison Keys+3.5 -323, Qinwen Zheng-2.5 +165, Madison Keys+2.5 -238, Qinwen Zheng-1.5 +137, Madison Keys+1.5 -192, Qinwen Zheng-0.5 +120, Madison Keys+0.5 -167, Qinwen Zheng+0.5 +105, Madison Keys-0.5 -143, Qinwen Zheng+1.5 -110, Madison Keys-1.5 -125, Qinwen Zheng+2.5 -133, Madison Keys-2.5 -102, Qinwen Zheng+3.5 -182, Madison Keys-3.5 +130, Qinwen Zheng+4.5 -294, Madison Keys-4.5 +200, Qinwen Zheng+5.5 -526, Madison Keys-5.5 +310, Qinwen Zheng+6.5 -1000, Madison Keys-6.5 +490, Qinwen Zheng+7.5 -2500, Madison Keys-7.5 +750, Qinwen Zheng+8.5 -6667, Madison Keys-8.5 +975
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Match Handicap (Set), Qinwen Zheng-1.5 +280, Madison Keys+1.5 -385, Qinwen Zheng+1.5 -222, Madison Keys-1.5 +165
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Game Spread  (Set 2), Qinwen Zheng+1.5 -128, Madison Keys-1.5 -102
Betano, Spread Markets, Washington (W), Bernarda Pera - Leylah Annie Fernandez, Game Spread  (Set 2), Bernarda Pera-1.5 +155, Leylah Annie Fernandez+1.5 -213
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Game Spread  (Set 2), Qinwen Zheng-1.5 +147, Madison Keys+1.5 -200
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Game Spread  (Set 1), Qinwen Zheng-1.5 +147, Madison Keys+1.5 -200
Betano, Spread Markets, Washington (W), Qinwen Zheng - Madison Keys, Game Spread  (Set 1), Qinwen Zheng+1.5 -128, Madison Keys-1.5 -102
