BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Match Handicap (Set), Barbora Palicova-1.5 +305, Emiliana Arango+1.5 -435, Barbora Palicova+1.5 -192, Emiliana Arango-1.5 +147
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 1), Barbora Palicova+1.5 -108, Emiliana Arango-1.5 -122
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 2), Barbora Palicova+1.5 -108, Emiliana Arango-1.5 -122
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 2), Barbora Palicova-1.5 +145, Emiliana Arango+1.5 -200
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Spread Games, Shuai Zhang-7.5 +900, Yue Yuan+7.5 -5000, Shuai Zhang-6.5 +700, Yue Yuan+6.5 -2000, Shuai Zhang-5.5 +510, Yue Yuan+5.5 -1111, Shuai Zhang-4.5 +370, Yue Yuan+4.5 -667, Shuai Zhang-3.5 +275, Yue Yuan+3.5 -435, Shuai Zhang-2.5 +225, Yue Yuan+2.5 -333, Shuai Zhang-1.5 +192, Yue Yuan+1.5 -286, Shuai Zhang-0.5 +172, Yue Yuan+0.5 -250, Shuai Zhang+0.5 +152, Yue Yuan-0.5 -213, Shuai Zhang+1.5 +135, Yue Yuan-1.5 -189, Shuai Zhang+2.5 +115, Yue Yuan-2.5 -161, Shuai Zhang+3.5 -111, Yue Yuan-3.5 -125, Shuai Zhang+4.5 -161, Yue Yuan-4.5 +115, Shuai Zhang+5.5 -250, Yue Yuan-5.5 +172, Shuai Zhang+6.5 -417, Yue Yuan-6.5 +270, Shuai Zhang+7.5 -833, Yue Yuan-7.5 +430, Shuai Zhang+8.5 -2000, Yue Yuan-8.5 +670, Shuai Zhang+9.5 -5000, Yue Yuan-9.5 +925
Betano, Spread Markets, Prague (W), Barbora Palicova - Emiliana Arango, Game Spread  (Set 1), Barbora Palicova-1.5 +145, Emiliana Arango+1.5 -200
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Game Spread  (Set 1), Shuai Zhang+1.5 +115, Yue Yuan-1.5 -154
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Match Handicap (Set), Shuai Zhang-1.5 +400, Yue Yuan+1.5 -588, Shuai Zhang+1.5 -154, Yue Yuan-1.5 +115
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Game Spread  (Set 2), Shuai Zhang+1.5 +115, Yue Yuan-1.5 -154
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Game Spread  (Set 2), Shuai Zhang+2.5 -192, Yue Yuan-2.5 +142
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Spread Games, Yanina Wickmayer-8.5 +900, Lin Zhu+8.5 -5000, Yanina Wickmayer-7.5 +660, Lin Zhu+7.5 -2000, Yanina Wickmayer-6.5 +440, Lin Zhu+6.5 -833, Yanina Wickmayer-5.5 +295, Lin Zhu+5.5 -476, Yanina Wickmayer-4.5 +205, Lin Zhu+4.5 -303, Yanina Wickmayer-3.5 +150, Lin Zhu+3.5 -213, Yanina Wickmayer-2.5 +118, Lin Zhu+2.5 -161, Yanina Wickmayer-1.5 +100, Lin Zhu+1.5 -139, Yanina Wickmayer-0.5 -114, Lin Zhu+0.5 -122, Yanina Wickmayer+0.5 -128, Lin Zhu-0.5 -108, Yanina Wickmayer+1.5 -143, Lin Zhu-1.5 +105, Yanina Wickmayer+2.5 -167, Lin Zhu-2.5 +122, Yanina Wickmayer+3.5 -222, Lin Zhu-3.5 +155, Yanina Wickmayer+4.5 -323, Lin Zhu-4.5 +215, Yanina Wickmayer+5.5 -500, Lin Zhu-5.5 +310, Yanina Wickmayer+6.5 -909, Lin Zhu-6.5 +460, Yanina Wickmayer+7.5 -2000, Lin Zhu-7.5 +680, Yanina Wickmayer+8.5 -5000, Lin Zhu-8.5 +900
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Game Spread  (Set 1), Yanina Wickmayer+1.5 -143, Lin Zhu-1.5 +112
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Match Handicap (Set), Yanina Wickmayer-1.5 +205, Lin Zhu+1.5 -278, Yanina Wickmayer+1.5 -294, Lin Zhu-1.5 +215
Betano, Spread Markets, Prague (W), Shuai Zhang - Yue Yuan, Game Spread  (Set 1), Shuai Zhang+2.5 -192, Yue Yuan-2.5 +142
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Game Spread  (Set 1), Yanina Wickmayer-1.5 +107, Lin Zhu+1.5 -143
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Spread Games, Alize Cornet-7.5 +142, Lucie Havlickova+7.5 -192
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Game Spread  (Set 2), Alize Cornet-2.5 -312, Lucie Havlickova+2.5 +220
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Match Handicap (Set), Alize Cornet-1.5 -2000, Lucie Havlickova+1.5 +850
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Game Spread  (Set 2), Yanina Wickmayer-1.5 +107, Lin Zhu+1.5 -143
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Game Spread  (Set 2), Alize Cornet-3.5 +142, Lucie Havlickova+3.5 -192
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Game Spread  (Set 3), Alize Cornet-2.5 +115, Lucie Havlickova+2.5 -154
Betano, Spread Markets, Prague (W), Yanina Wickmayer - Lin Zhu, Game Spread  (Set 2), Yanina Wickmayer+1.5 -143, Lin Zhu-1.5 +112
Betano, Spread Markets, Prague (W), Alize Cornet - Lucie Havlickova, Game Spread  (Set 3), Alize Cornet-1.5 -200, Lucie Havlickova+1.5 +147
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Spread Games, Gabriela Andrea Knutson-7.5 +900, Tereza Martincova+7.5 -5000, Gabriela Andrea Knutson-6.5 +690, Tereza Martincova+6.5 -2000, Gabriela Andrea Knutson-5.5 +500, Tereza Martincova+5.5 -1000, Gabriela Andrea Knutson-4.5 +355, Tereza Martincova+4.5 -625, Gabriela Andrea Knutson-3.5 +260, Tereza Martincova+3.5 -417, Gabriela Andrea Knutson-2.5 +210, Tereza Martincova+2.5 -312, Gabriela Andrea Knutson-1.5 +180, Tereza Martincova+1.5 -263, Gabriela Andrea Knutson-0.5 +160, Tereza Martincova+0.5 -227, Gabriela Andrea Knutson+0.5 +142, Tereza Martincova-0.5 -200, Gabriela Andrea Knutson+1.5 +125, Tereza Martincova-1.5 -175, Gabriela Andrea Knutson+2.5 +105, Tereza Martincova-2.5 -143, Gabriela Andrea Knutson+3.5 -120, Tereza Martincova-3.5 -115, Gabriela Andrea Knutson+4.5 -175, Tereza Martincova-4.5 +125, Gabriela Andrea Knutson+5.5 -270, Tereza Martincova-5.5 +187, Gabriela Andrea Knutson+6.5 -476, Tereza Martincova-6.5 +295, Gabriela Andrea Knutson+7.5 -1000, Tereza Martincova-7.5 +470, Gabriela Andrea Knutson+8.5 -2500, Tereza Martincova-8.5 +725, Gabriela Andrea Knutson+9.5 -6667, Tereza Martincova-9.5 +950
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Game Spread  (Set 1), Gabriela Andrea Knutson+2.5 -200, Tereza Martincova-2.5 +150
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Match Handicap (Set), Gabriela Andrea Knutson-1.5 +370, Tereza Martincova+1.5 -526, Gabriela Andrea Knutson+1.5 -161, Tereza Martincova-1.5 +122
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Spread Games, Heather Watson-8.5 +900, Jule Niemeier+8.5 -5000, Heather Watson-7.5 +670, Jule Niemeier+7.5 -2000, Heather Watson-6.5 +450, Jule Niemeier+6.5 -909, Heather Watson-5.5 +300, Jule Niemeier+5.5 -476, Heather Watson-4.5 +205, Jule Niemeier+4.5 -303, Heather Watson-3.5 +150, Jule Niemeier+3.5 -213, Heather Watson-2.5 +118, Jule Niemeier+2.5 -161, Heather Watson-1.5 +100, Jule Niemeier+1.5 -139, Heather Watson-0.5 -114, Jule Niemeier+0.5 -122, Heather Watson+0.5 -128, Jule Niemeier-0.5 -108, Heather Watson+1.5 -143, Jule Niemeier-1.5 +105, Heather Watson+2.5 -167, Jule Niemeier-2.5 +122, Heather Watson+3.5 -213, Jule Niemeier-3.5 +152, Heather Watson+4.5 -323, Jule Niemeier-4.5 +215, Heather Watson+5.5 -500, Jule Niemeier-5.5 +310, Heather Watson+6.5 -909, Jule Niemeier-6.5 +460, Heather Watson+7.5 -2000, Jule Niemeier-7.5 +680, Heather Watson+8.5 -5000, Jule Niemeier-8.5 +900
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Game Spread  (Set 2), Gabriela Andrea Knutson+1.5 +107, Tereza Martincova-1.5 -143
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Game Spread  (Set 1), Gabriela Andrea Knutson+1.5 +107, Tereza Martincova-1.5 -143
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Match Handicap (Set), Heather Watson-1.5 +205, Jule Niemeier+1.5 -278, Heather Watson+1.5 -294, Jule Niemeier-1.5 +215
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Game Spread  (Set 1), Heather Watson-1.5 +107, Jule Niemeier+1.5 -143
Betano, Spread Markets, Prague (W), Gabriela Andrea Knutson - Tereza Martincova, Game Spread  (Set 2), Gabriela Andrea Knutson+2.5 -213, Tereza Martincova-2.5 +155
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Game Spread  (Set 1), Heather Watson+1.5 -143, Jule Niemeier-1.5 +112
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Spread Games, Xiyu Wang-8.5 +975, Clara Tauson+8.5 -6667, Xiyu Wang-7.5 +775, Clara Tauson+7.5 -2500, Xiyu Wang-6.5 +540, Clara Tauson+6.5 -1250, Xiyu Wang-5.5 +370, Clara Tauson+5.5 -667, Xiyu Wang-4.5 +255, Clara Tauson+4.5 -400, Xiyu Wang-3.5 +185, Clara Tauson+3.5 -270, Xiyu Wang-2.5 +150, Clara Tauson+2.5 -213, Xiyu Wang-1.5 +125, Clara Tauson+1.5 -175, Xiyu Wang-0.5 +112, Clara Tauson+0.5 -154, Xiyu Wang+0.5 +100, Clara Tauson-0.5 -139, Xiyu Wang+1.5 -115, Clara Tauson-1.5 -120, Xiyu Wang+2.5 -133, Clara Tauson-2.5 -102, Xiyu Wang+3.5 -175, Clara Tauson-3.5 +125, Xiyu Wang+4.5 -250, Clara Tauson-4.5 +175, Xiyu Wang+5.5 -400, Clara Tauson-5.5 +260, Xiyu Wang+6.5 -714, Clara Tauson-6.5 +390, Xiyu Wang+7.5 -1429, Clara Tauson-7.5 +600, Xiyu Wang+8.5 -4000, Clara Tauson-8.5 +850
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Game Spread  (Set 2), Heather Watson+1.5 -143, Jule Niemeier-1.5 +112
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Match Handicap (Set), Xiyu Wang-1.5 +255, Clara Tauson+1.5 -357, Xiyu Wang+1.5 -227, Clara Tauson-1.5 +172
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Game Spread  (Set 1), Xiyu Wang-1.5 +130, Clara Tauson+1.5 -175
Betano, Spread Markets, Prague (W), Heather Watson - Jule Niemeier, Game Spread  (Set 2), Heather Watson-1.5 +107, Jule Niemeier+1.5 -143
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Game Spread  (Set 1), Xiyu Wang+1.5 -125, Clara Tauson-1.5 -105
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Game Spread  (Set 2), Xiyu Wang+1.5 -125, Clara Tauson-1.5 -105
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Spread Games, Elvina Kalieva-6.5 +1025, Linda Noskova+6.5 -10000, Elvina Kalieva-5.5 +850, Linda Noskova+5.5 -4000, Elvina Kalieva-4.5 +725, Linda Noskova+4.5 -2500, Elvina Kalieva-3.5 +550, Linda Noskova+3.5 -1250, Elvina Kalieva-2.5 +470, Linda Noskova+2.5 -909, Elvina Kalieva-1.5 +400, Linda Noskova+1.5 -714, Elvina Kalieva-0.5 +360, Linda Noskova+0.5 -625, Elvina Kalieva+0.5 +320, Linda Noskova-0.5 -526, Elvina Kalieva+1.5 +280, Linda Noskova-1.5 -435, Elvina Kalieva+2.5 +240, Linda Noskova-2.5 -357, Elvina Kalieva+3.5 +177, Linda Noskova-3.5 -256, Elvina Kalieva+4.5 +127, Linda Noskova-4.5 -175, Elvina Kalieva+5.5 -133, Linda Noskova-5.5 -102, Elvina Kalieva+6.5 -213, Linda Noskova-6.5 +150, Elvina Kalieva+7.5 -435, Linda Noskova-7.5 +280, Elvina Kalieva+8.5 -833, Linda Noskova-8.5 +440, Elvina Kalieva+9.5 -2500, Linda Noskova-9.5 +750, Elvina Kalieva+10.5 -10000, Linda Noskova-10.5 +975
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Game Spread  (Set 1), Elvina Kalieva+2.5 -105, Linda Noskova-2.5 -125
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Match Handicap (Set), Elvina Kalieva-1.5 +875, Linda Noskova+1.5 -1667, Elvina Kalieva+1.5 +127, Linda Noskova-1.5 -175
Betano, Spread Markets, Prague (W), Xiyu Wang - Clara Tauson, Game Spread  (Set 2), Xiyu Wang-1.5 +130, Clara Tauson+1.5 -175
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Game Spread  (Set 1), Elvina Kalieva+3.5 -238, Linda Noskova-3.5 +175
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Spread Games, Barbora Strycova-10.5 +950, Ankita Raina+10.5 -6667, Barbora Strycova-9.5 +660, Ankita Raina+9.5 -2000, Barbora Strycova-8.5 +400, Ankita Raina+8.5 -769, Barbora Strycova-7.5 +235, Ankita Raina+7.5 -357, Barbora Strycova-6.5 +137, Ankita Raina+6.5 -192, Barbora Strycova-5.5 -118, Ankita Raina+5.5 -118, Barbora Strycova-4.5 -189, Ankita Raina+4.5 +132, Barbora Strycova-3.5 -286, Ankita Raina+3.5 +195, Barbora Strycova-2.5 -385, Ankita Raina+2.5 +250, Barbora Strycova-1.5 -476, Ankita Raina+1.5 +295, Barbora Strycova-0.5 -588, Ankita Raina+0.5 +340, Barbora Strycova+0.5 -667, Ankita Raina-0.5 +380, Barbora Strycova+1.5 -833, Ankita Raina-1.5 +430, Barbora Strycova+2.5 -1000, Ankita Raina-2.5 +480, Barbora Strycova+3.5 -1429, Ankita Raina-3.5 +570, Barbora Strycova+4.5 -2000, Ankita Raina-4.5 +700, Barbora Strycova+5.5 -4000, Ankita Raina-5.5 +850, Barbora Strycova+6.5 -10000, Ankita Raina-6.5 +1000
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Game Spread  (Set 2), Elvina Kalieva+3.5 -238, Linda Noskova-3.5 +175
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Match Handicap (Set), Barbora Strycova-1.5 -189, Ankita Raina+1.5 +135, Barbora Strycova+1.5 -1667, Ankita Raina-1.5 +950
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Game Spread  (Set 1), Barbora Strycova-2.5 -122, Ankita Raina+2.5 -108
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Game Spread  (Set 2), Barbora Strycova-3.5 +155, Ankita Raina+3.5 -213
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Game Spread  (Set 2), Barbora Strycova-2.5 -122, Ankita Raina+2.5 -110
Betano, Spread Markets, Prague (W), Barbora Strycova - Ankita Raina, Game Spread  (Set 1), Barbora Strycova-3.5 +155, Ankita Raina+3.5 -213
Betano, Spread Markets, Prague (W), Elvina Kalieva - Linda Noskova, Game Spread  (Set 2), Elvina Kalieva+2.5 -120, Linda Noskova-2.5 -110
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Spread Games, Elina Svitolina-8.5 +950, Victoria Azarenka+8.5 -6667, Elina Svitolina-7.5 +725, Victoria Azarenka+7.5 -2500, Elina Svitolina-6.5 +510, Victoria Azarenka+6.5 -1111, Elina Svitolina-5.5 +340, Victoria Azarenka+5.5 -588, Elina Svitolina-4.5 +235, Victoria Azarenka+4.5 -357, Elina Svitolina-3.5 +167, Victoria Azarenka+3.5 -238, Elina Svitolina-2.5 +132, Victoria Azarenka+2.5 -189, Elina Svitolina-1.5 +115, Victoria Azarenka+1.5 -161, Elina Svitolina-0.5 +100, Victoria Azarenka+0.5 -139, Elina Svitolina+0.5 -111, Victoria Azarenka-0.5 -122, Elina Svitolina+1.5 -128, Victoria Azarenka-1.5 -108, Elina Svitolina+2.5 -154, Victoria Azarenka-2.5 +110, Elina Svitolina+3.5 -192, Victoria Azarenka-3.5 +137, Elina Svitolina+4.5 -286, Victoria Azarenka-4.5 +195, Elina Svitolina+5.5 -455, Victoria Azarenka-5.5 +285, Elina Svitolina+6.5 -833, Victoria Azarenka-6.5 +430, Elina Svitolina+7.5 -1667, Victoria Azarenka-7.5 +650, Elina Svitolina+8.5 -5000, Victoria Azarenka-8.5 +875
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Game Spread  (Set 1), Elina Svitolina-1.5 +120, Victoria Azarenka+1.5 -161
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Match Handicap (Set), Elina Svitolina-1.5 +235, Victoria Azarenka+1.5 -323, Elina Svitolina+1.5 -256, Victoria Azarenka-1.5 +190
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Game Spread  (Set 2), Elina Svitolina+1.5 -133, Victoria Azarenka-1.5 +102
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Game Spread  (Set 2), Elina Svitolina-1.5 +120, Victoria Azarenka+1.5 -161
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Spread Games, Elise Mertens-7.5 +850, Daria Kasatkina+7.5 -4000, Elise Mertens-6.5 +640, Daria Kasatkina+6.5 -1667, Elise Mertens-5.5 +450, Daria Kasatkina+5.5 -909, Elise Mertens-4.5 +320, Daria Kasatkina+4.5 -526, Elise Mertens-3.5 +235, Daria Kasatkina+3.5 -357, Elise Mertens-2.5 +187, Daria Kasatkina+2.5 -278, Elise Mertens-1.5 +162, Daria Kasatkina+1.5 -227, Elise Mertens-0.5 +142, Daria Kasatkina+0.5 -200, Elise Mertens+0.5 +127, Daria Kasatkina-0.5 -175, Elise Mertens+1.5 +112, Daria Kasatkina-1.5 -154, Elise Mertens+2.5 -105, Daria Kasatkina-2.5 -133, Elise Mertens+3.5 -133, Daria Kasatkina-3.5 -102, Elise Mertens+4.5 -192, Daria Kasatkina-4.5 +137, Elise Mertens+5.5 -303, Daria Kasatkina-5.5 +205, Elise Mertens+6.5 -526, Daria Kasatkina-6.5 +320, Elise Mertens+7.5 -1111, Daria Kasatkina-7.5 +510, Elise Mertens+8.5 -2500, Daria Kasatkina-8.5 +750, Elise Mertens+9.5 -6667, Daria Kasatkina-9.5 +975
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Game Spread  (Set 1), Elise Mertens+1.5 -102, Daria Kasatkina-1.5 -128
Betano, Spread Markets, Washington (W), Elina Svitolina - Victoria Azarenka, Game Spread  (Set 1), Elina Svitolina+1.5 -133, Victoria Azarenka-1.5 +102
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Match Handicap (Set), Elise Mertens-1.5 +330, Daria Kasatkina+1.5 -476, Elise Mertens+1.5 -182, Daria Kasatkina-1.5 +135
Betano, Spread Markets, Washington (W), Elise Mertens - Daria Kasatkina, Game Spread  (Set 1), Elise Mertens-1.5 +157, Daria Kasatkina+1.5 -213
Betano, Spread Markets, Washington (W), Sorana Cirstea - Petra Martic, Spread Games, Sorana Cirstea-8.5 +900, Petra Martic+8.5 -5000, Sorana Cirstea-7.5 +660, Petra Martic+7.5 -2000, Sorana Cirstea-6.5 +440, Petra Martic+6.5 -833, Sorana Cirstea-5.5 +290, Petra Martic+5.5 -455, Sorana Cirstea-4.5 +195, Petra Martic+4.5 -286, Sorana Cirstea-3.5 +137, Petra Martic+3.5 -192, Sorana Cirstea-2.5 +110, Petra Martic+2.5 -154, Sorana Cirstea-1.5 -108, Petra Martic+1.5 -128, Sorana Cirstea-0.5 -125, Petra Martic+0.5 -111, Sorana Cirstea+0.5 -139, Petra Martic-0.5 +100, Sorana Cirstea+1.5 -161, Petra Martic-1.5 +115, Sorana Cirstea+2.5 -189, Petra Martic-2.5 +135, Sorana Cirstea+3.5 -250, Petra Martic-3.5 +170, Sorana Cirstea+4.5 -370, Petra Martic-4.5 +240, Sorana Cirstea+5.5 -588, Petra Martic-5.5 +350, Sorana Cirstea+6.5 -1111, Petra Martic-6.5 +520, Sorana Cirstea+7.5 -2500, Petra Martic-7.5 +750, Sorana Cirstea+8.5 -6667, Petra Martic-8.5 +950
