BettingSite, Event Tab, League, Event, Market, Stats
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Double Result Set and Match, Thiago Seyboth Wild to win first set and match -111
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Double Result Set and Match, Thiago Seyboth Wild to win first set and lose match +750
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Double Result Set and Match, Dennis Novak to win first set and match +187
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Double Result Set and Match, Dennis Novak to win first set and lose match +610
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Tie Breaks, Under1.5 -2500
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild Win from behind (sets), Yes +610
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Dennis Novak Win from behind (sets), Yes +750
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Tie Breaks, Over0.5 +147
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Thiago Seyboth Wild Win from behind (sets), No -909
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, (Thiago Seyboth Wild) First Service Game Winner, Thiago Seyboth Wild -476
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, (Dennis Novak) First Service Game Winner, Dennis Novak -345
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, (Thiago Seyboth Wild) First Service Game Winner, Dennis Novak +290
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, First Service Break, Thiago Seyboth Wild -139
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, (Dennis Novak) First Service Game Winner, Thiago Seyboth Wild +230
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 1), 1-1 -200
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Dennis Novak Win from behind (sets), No -1250
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, First Service Break, Dennis Novak +100
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 2), 2-0 +270
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 2), 1-1 -200
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 1), 0-2 +370
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 1), 4-0 +1500
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 2), 0-2 +370
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 1), 3-1 +235
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 1), 0-4 +2500
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 2 Games (Set 1), 2-0 +270
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 2), 4-0 +1500
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 1), 1-3 +325
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 2), 3-1 +235
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 2), 0-4 +2500
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 2), 1-3 +325
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 6-0 +4900
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 2), 2-2 +100
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 3-3 +145
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 4 games (Set 1), 2-2 +100
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 1-5 +1350
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 5-1 +800
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 0-6 +8900
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 4-2 +230
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 6-0 +4900
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 4-2 +230
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 3-3 +145
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 5-1 +800
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 1-5 +1350
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 0-6 +8900
Betano, Other props, Kitzbuhel, Laslo Djere - Christopher O'Connell, Tie Breaks, Over0.5 +145
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 2), 2-4 +320
Betano, Other props, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Score After 6 Games (Set 1), 2-4 +320
