BettingSite, Event Tab, League, Event, Market, Stats
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 6 Double Faults, Daniel Altmaier +1600
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 7 Double Faults, Marc-Andrea Huesler +360
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 7 Double Faults, Daniel Altmaier +2400
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 8 Double Faults, Marc-Andrea Huesler +480
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 7 Double Faults, Neither -909
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 8 Double Faults, Daniel Altmaier +3100
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Double Faults, Marc-Andrea Huesler -286
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 8 Double Faults, Neither -2000
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Double Faults, Daniel Altmaier +325
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Race to 5 Double Faults, Neither -189
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Double Fault, Marc-Andrea Huesler -213
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, First Double Fault, Daniel Altmaier +150
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Double Faults (Between First Two), First Set +127
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Double Faults (Between First Two), Second set +125
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Double Faults, Tie +440
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Set With Most Double Faults (Between First Two), Tie +390
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Aces or Most Double Faults, Most Double Faults +750
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Aces or Most Double Faults, Most Aces -1429
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Aces or Most Double Faults - Set 1, Most Aces -455
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Aces or Most Double Faults, Tie +1100
Betano, Double Faults, Kitzbuhel, Marc-Andrea Huesler - Daniel Altmaier, Most Aces or Most Double Faults - Set 2, Most Aces -455
