BettingSite, Event Tab, League, Event, Market, Stats
Betano, Duration Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Duration, Under90.5 -118
Betano, Duration Markets, Los Cabos, Rodrigo Pacheco Mendez - Nicolas Jarry, Duration (Set 1), Under41.5 -118
Betano, Duration Markets, Los Cabos, Borna Gojo - Christian Garin, Duration (Set 1), Under44.5 -118
Betano, Duration Markets, Washington, Gael Monfils - Bjorn Fratangelo, Duration, Over100.5 -118
Betano, Duration Markets, Washington, Gael Monfils - Bjorn Fratangelo, Duration, Under100.5 -118
Betano, Duration Markets, Washington, Gael Monfils - Bjorn Fratangelo, Duration (Set 1), Over42.5 -118
Betano, Duration Markets, Washington, Gael Monfils - Bjorn Fratangelo, Duration (Set 1), Under42.5 -118
Betano, Duration Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Duration, Over107.5 -118
Betano, Duration Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Duration, Under107.5 -118
Betano, Duration Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Duration, Over110.5 -118
Betano, Duration Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Duration, Under110.5 -118
Betano, Duration Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Duration (Set 1), Over44.5 -118
Betano, Duration Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Duration (Set 1), Under43.5 -118
Betano, Duration Markets, Washington, Zachary Svajda - Max Purcell, Duration, Over108.5 -118
Betano, Duration Markets, Washington, Zachary Svajda - Max Purcell, Duration, Under108.5 -118
Betano, Duration Markets, Washington, Lloyd George Muirhead Harris - Kei Nishikori, Duration (Set 1), Under44.5 -118
Betano, Duration Markets, Washington, Taro Daniel - Thanasi Kokkinakis, Duration (Set 1), Over43.5 -118
Betano, Duration Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Duration, Under105.5 -118
Betano, Duration Markets, Washington, Zachary Svajda - Max Purcell, Duration (Set 1), Under43.5 -118
Betano, Duration Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Duration (Set 1), Over43.5 -118
Betano, Duration Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Duration, Over105.5 -118
Betano, Duration Markets, Washington, Kevin Anderson - Jordan Thompson, Duration, Over109.5 -118
Betano, Duration Markets, Washington, Zachary Svajda - Max Purcell, Duration (Set 1), Over43.5 -118
Betano, Duration Markets, Washington, Kevin Anderson - Jordan Thompson, Duration (Set 1), Under44.5 -118
Betano, Duration Markets, Washington, Kevin Anderson - Jordan Thompson, Duration, Under109.5 -118
Betano, Duration Markets, Washington, Aleksandar Vukic - Brandon Nakashima, Duration (Set 1), Under43.5 -118
Betano, Duration Markets, Washington, Kevin Anderson - Jordan Thompson, Duration (Set 1), Over44.5 -118
