BettingSite, Event Tab, League, Event, Market, Stats
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Spread Games, Dusan Lajovic-8.5 +1000 Zhizhen Zhang+8.5 -10000 Dusan Lajovic-7.5 +800 Zhizhen Zhang+7.5 -3333 Dusan Lajovic-6.5 +550 Zhizhen Zhang+6.5 -1250 Dusan Lajovic-5.5 +360 Zhizhen Zhang+5.5 -625 Dusan Lajovic-4.5 +235 Zhizhen Zhang+4.5 -357 Dusan Lajovic-3.5 +160 Zhizhen Zhang+3.5 -227 Dusan Lajovic-2.5 +120 Zhizhen Zhang+2.5 -167 Dusan Lajovic-1.5 +100 Zhizhen Zhang+1.5 -139 Dusan Lajovic-0.5 -115 Zhizhen Zhang+0.5 -120 Dusan Lajovic+0.5 -128 Zhizhen Zhang-0.5 -108 Dusan Lajovic+1.5 -154 Zhizhen Zhang-1.5 +110 Dusan Lajovic+2.5 -182 Zhizhen Zhang-2.5 +130 Dusan Lajovic+3.5 -250 Zhizhen Zhang-3.5 +172 Dusan Lajovic+4.5 -385 Zhizhen Zhang-4.5 +255 Dusan Lajovic+5.5 -714 Zhizhen Zhang-5.5 +385 Dusan Lajovic+6.5 -1429 Zhizhen Zhang-6.5 +580 Dusan Lajovic+7.5 -3333 Zhizhen Zhang-7.5 +825 Dusan Lajovic+8.5 -10000 Zhizhen Zhang-8.5 +1025
Betano, Spread Markets, Kitzbuhel, Laslo Djere - Christopher O'Connell, Game Spread  (Set 2), Laslo Djere-2.5 +190 Christopher O'Connell+2.5 -263
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Match Handicap (Set), Dusan Lajovic-1.5 +205 Zhizhen Zhang+1.5 -278 Dusan Lajovic+1.5 -303 Zhizhen Zhang-1.5 +220
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Game Spread  (Set 1), Dusan Lajovic+1.5 -161 Zhizhen Zhang-1.5 +122
Betano, Spread Markets, Kitzbuhel, Thiago Seyboth Wild - Dennis Novak, Game Spread  (Set 2), Thiago Seyboth Wild-1.5 -110 Dennis Novak+1.5 -122
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Spread Games, Alexei Popyrin-7.5 +1025 Arthur Rinderknech+7.5 -10000 Alexei Popyrin-6.5 +750 Arthur Rinderknech+6.5 -2500 Alexei Popyrin-5.5 +550 Arthur Rinderknech+5.5 -1250 Alexei Popyrin-4.5 +325 Arthur Rinderknech+4.5 -556 Alexei Popyrin-3.5 +215 Arthur Rinderknech+3.5 -323 Alexei Popyrin-2.5 +150 Arthur Rinderknech+2.5 -213 Alexei Popyrin-1.5 +120 Arthur Rinderknech+1.5 -167 Alexei Popyrin-0.5 +102 Arthur Rinderknech+0.5 -139 Alexei Popyrin+0.5 -115 Arthur Rinderknech-0.5 -120 Alexei Popyrin+1.5 -133 Arthur Rinderknech-1.5 -102 Alexei Popyrin+2.5 -175 Arthur Rinderknech-2.5 +125 Alexei Popyrin+3.5 -256 Arthur Rinderknech-3.5 +177 Alexei Popyrin+4.5 -500 Arthur Rinderknech-4.5 +305 Alexei Popyrin+5.5 -909 Arthur Rinderknech-5.5 +470 Alexei Popyrin+6.5 -2500 Arthur Rinderknech-6.5 +750 Alexei Popyrin+7.5 -6667 Arthur Rinderknech-7.5 +975
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Game Spread  (Set 1), Dusan Lajovic-1.5 +115 Zhizhen Zhang+1.5 -154
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Match Handicap (Set), Alexei Popyrin-1.5 +240 Arthur Rinderknech+1.5 -323 Alexei Popyrin+1.5 -263 Arthur Rinderknech-1.5 +195
Betano, Spread Markets, Kitzbuhel, Dusan Lajovic - Zhizhen Zhang, Game Spread  (Set 2), Dusan Lajovic+1.5 -161 Zhizhen Zhang-1.5 +122
Betano, Spread Markets, Kitzbuhel, Alexei Popyrin - Arthur Rinderknech, Game Spread  (Set 1), Alexei Popyrin-1.5 +147 Arthur Rinderknech+1.5 -200
