BettingSite, Event Tab, League, Event, Market, Stats
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 1, Kill 10), T1 Esports -250 Kwangdong Freecs +175
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 1, Kill 5), T1 Esports -200 Kwangdong Freecs +142
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 1, Kill 15), T1 Esports -286 Kwangdong Freecs +192
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 2, Kill 5), T1 Esports -200 Kwangdong Freecs +142
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 2, Kill 10), T1 Esports -250 Kwangdong Freecs +175
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 2, Kill 20), T1 Esports -312 Kwangdong Freecs +210
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 3, Kill 5), T1 Esports -189 Kwangdong Freecs +135
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 1, Kill 20), T1 Esports -312 Kwangdong Freecs +210
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 2, Kill 15), T1 Esports -286 Kwangdong Freecs +192
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 3, Kill 15), T1 Esports -250 Kwangdong Freecs +175
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 3, Kill 10), T1 Esports -227 Kwangdong Freecs +160
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Race to Kills (Map 3, Kill 20), T1 Esports -286 Kwangdong Freecs +192
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, First Blood (Map 3), T1 Esports -143 Kwangdong Freecs +112
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, First Blood (Map 1), T1 Esports -143 Kwangdong Freecs +112
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Total Kills Odd/Even (Map 1), Odd -115 Even -115
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, First Blood (Map 2), T1 Esports -143 Kwangdong Freecs +112
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Most Kills Spread (Map 1), T1 Esports-7.5 -115 Kwangdong Freecs+7.5 -115
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Most Kills Spread (Map 2), T1 Esports-7.5 -115 Kwangdong Freecs+7.5 -115
Betano, Kills, LCK, T1 Esports - Kwangdong Freecs, Total Kills Odd/Even (Map 3), Odd -115 Even -115
