Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 50.5, +140, Under 50.5, -189
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 52.5, +167, Under 52.5, -227
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 51.5, +155, Under 51.5, -213
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 53.5, +185, Under 53.5, -256
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 47.5, +105, Under 47.5, -139
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 54.5, +200, Under 54.5, -278
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 48.5, +115, Under 48.5, -154
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 55.5, +220, Under 55.5, -312
Betano, Saskatchewan Roughriders @ British Columbia Lions, British Columbia Lions Points (incl. OT), Over 27.5, -118, Under 27.5, -114
Betano, Saskatchewan Roughriders @ British Columbia Lions, Saskatchewan Roughriders Points (incl. OT), Over 16.5, -122, Under 16.5, -108
Betano, Saskatchewan Roughriders @ British Columbia Lions, 1st Half - Points, Over 16.5, -323, Under 16.5, +225
Betano, Saskatchewan Roughriders @ British Columbia Lions, 1st Half - Points, Over 19.5, -182, Under 19.5, +137
Betano, Saskatchewan Roughriders @ British Columbia Lions, 1st Half - Points, Over 22.5, -115, Under 22.5, -115
Betano, Saskatchewan Roughriders @ British Columbia Lions, 1st Half - Points, Over 25.5, +142, Under 25.5, -192
Betano, Saskatchewan Roughriders @ British Columbia Lions, 1st Half - Points, Over 28.5, +220, Under 28.5, -312
Betano, Saskatchewan Roughriders @ British Columbia Lions, Quarter 1 Points, Over 2.5, -769, Under 2.5, +440
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 56.5, +240, Under 56.5, -345
Betano, Saskatchewan Roughriders @ British Columbia Lions, Quarter 1 Points, Over 5.5, -278, Under 5.5, +200
Betano, Saskatchewan Roughriders @ British Columbia Lions, Quarter 1 Points, Over 11.5, +185, Under 11.5, -256
Betano, Saskatchewan Roughriders @ British Columbia Lions, Points, Over 57.5, +265, Under 57.5, -385
Betano, Saskatchewan Roughriders @ British Columbia Lions, Quarter 1 Points, Over 8.5, -110, Under 8.5, -122
Betano, Saskatchewan Roughriders @ British Columbia Lions, Quarter 1 Points, Over 14.5, +320, Under 14.5, -500
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 32.5, -435, Under 32.5, +290
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 34.5, -345, Under 34.5, +240
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 35.5, -303, Under 35.5, +215
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 33.5, -385, Under 33.5, +260
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 36.5, -270, Under 36.5, +195
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 37.5, -238, Under 37.5, +175
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 38.5, -213, Under 38.5, +157
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 40.5, -175, Under 40.5, +132
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 42.5, -143, Under 42.5, +107
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 41.5, -161, Under 41.5, +120
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 44.5, -118, Under 44.5, -111
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 45.5, -108, Under 45.5, -122
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 46.5, +102, Under 46.5, -133
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 43.5, -133, Under 43.5, +100
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 47.5, +115, Under 47.5, -154
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 49.5, +135, Under 49.5, -182
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 50.5, +145, Under 50.5, -200
Betano, Ottawa Redblacks @ Calgary Stampeders, Points, Over 48.5, +122, Under 48.5, -161
