BettingSite, Team, Date, Player, Stats
Underdog Fantasy, LCK: LSB vs. Dplus KIAWed 4:00AM, LoL: Deft, 62.6 Fantasy Points on Maps 1+2 10.5 Kills on Map 1+2
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: BioPanther, 22.2 Fantasy Points on Map 1 2.0 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Kisee, 26.5 Fantasy Points on Map 1 4.5 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Kevy, 24.7 Fantasy Points on Map 1 3.0 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Raes, 29.3 Fantasy Points on Map 1 5.0 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Lived, 19.7 Fantasy Points on Map 1 2.5 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Daystar, 28.8 Fantasy Points on Map 1 5.0 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: leemas, 28.0 Fantasy Points on Map 1 4.5 Kills on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Akia, 17.7 Fantasy Points on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Aladoric, 21.6 Fantasy Points on Map 1
Underdog Fantasy, LCO: Chiefs vs. BlissWed 4:00AM, LoL: Whynot, 24.0 Fantasy Points on Map 1 2.5 Kills on Map 1
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO Cjoffo, 33.0 Kills on Map 1+2 18.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO brutmonster, 38.0 Kills on Map 1+2 11.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO nEMANHA, 37.5 Kills on Map 1+2 20.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO aVN, 34.5 Kills on Map 1+2 18.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO simke, 39.5 Kills on Map 1+2 24.0 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO klameczka, 28.5 Kills on Map 1+2 10.0 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO ex1st, 36.5 Kills on Map 1+2 20.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO flayy, 40.0 Kills on Map 1+2 13.5 Headshots on Maps 1+2
Underdog Fantasy, Zero Tenacity vs. Thunder FlashWed 4:00AM, CS:GO bajmi, 35.5 Kills on Map 1+2 15.0 Headshots on Maps 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: Xiaolaohu, 34.7 Fantasy Points on Maps 1+2 4.5 Kills on Map 1+2
Underdog Fantasy, LPL: FunPlus Phoenix vs. Ninjas in PyjamasWed 5:00AM, LoL: H4cker, 41.1 Fantasy Points on Maps 1+2 4.0 Kills on Map 1+2
